a_khz,val_acc,p0,p1,p2,p_spin
-60.0,0.7547619342803955,0.6894221,0.30485108,0.005726853,0.31057793
-58.0,0.7428571581840515,0.8781107,0.1115732,0.010316098,0.12188929
-56.0,0.7095238566398621,0.99077237,0.009227676,1.9065012e-09,0.0092276335
-54.0,0.7333333492279053,0.99031293,0.009687004,7.845012e-08,0.009687066
-52.0,0.6857143044471741,0.9979164,0.0020834482,7.16924e-08,0.0020835996
-50.0,0.7595238089561462,0.9370726,0.062903576,2.3959434e-05,0.062927425
-48.0,0.723809540271759,0.74379534,0.22344986,0.032754768,0.25620466
-46.0,0.7261905074119568,0.69403356,0.25094402,0.05502242,0.30596644
-44.0,0.7166666984558105,0.75344914,0.20617194,0.04037894,0.24655086
-42.0,0.6976190805435181,0.11441251,0.82738686,0.058200665,0.8855875
-40.0,0.7595238089561462,0.8935302,0.09300539,0.013464376,0.10646981
-38.0,0.7523809671401978,0.33707395,0.58715767,0.07576841,0.6629261
-36.0,0.7333333492279053,0.9919756,0.008022223,2.1840524e-06,0.0080243945
-34.0,0.7571429014205933,0.8382711,0.1530529,0.0086760335,0.16172892
-32.0,0.7666667103767395,0.689553,0.30557165,0.004875368,0.31044698
-30.0,0.7880952954292297,0.6389932,0.3314225,0.029584328,0.3610068
-28.0,0.8142857551574707,0.15254946,0.8426232,0.0048273057,0.84745055
-26.0,0.8095238208770752,0.888553,0.10887109,0.0025758892,0.11144698
-24.0,0.8333333730697632,0.9035461,0.09373397,0.0027199215,0.096453905
-22.0,0.773809552192688,0.5896916,0.36969504,0.04061335,0.41030842
-20.0,0.8047619462013245,0.6728999,0.3031151,0.023984957,0.3271001
-18.0,0.8285714387893677,0.95642287,0.04353306,4.4150984e-05,0.043577135
-16.0,0.8380952477455139,0.025336465,0.42786598,0.5467976,0.97466356
-14.0,0.8142857551574707,0.23027448,0.724206,0.045519527,0.7697255
-12.0,0.8214285969734192,0.14351347,0.8471876,0.0092989905,0.85648656
-10.0,0.8285714387893677,0.15202746,0.75514483,0.092827655,0.8479725
-8.0,0.811904788017273,0.00063466205,0.9743223,0.025043102,0.9993653
-6.0,0.8214285969734192,0.06743858,0.4935531,0.43900836,0.9325614
-4.0,0.8333333730697632,0.008935691,0.9810348,0.010029512,0.9910643
-2.0,0.8619047999382019,0.11821528,0.8729717,0.0088129435,0.88178474
0.0,0.8666666746139526,0.0009409707,0.4388637,0.56019527,0.999059
2.0,0.8547619581222534,0.0013718435,0.122546,0.8760821,0.99862814
4.0,0.8380952477455139,0.0002657752,0.7124159,0.28731835,0.9997342
6.0,0.8833333849906921,0.00088480936,0.35836306,0.64075214,0.99911517
8.0,0.8428571820259094,0.00016061572,0.28406525,0.7157742,0.99983937
10.0,0.800000011920929,0.021739934,0.6392897,0.33897033,0.97826004
12.0,0.8476190567016602,0.0014483948,0.56022304,0.43832853,0.9985516
14.0,0.8142857551574707,0.17185724,0.7521275,0.07601522,0.82814276
16.0,0.8166667222976685,0.4300018,0.4878093,0.08218888,0.5699982
18.0,0.8476190567016602,0.59532017,0.40326822,0.0014115617,0.40467983
20.0,0.800000011920929,0.87439173,0.12068083,0.0049273875,0.12560827
22.0,0.75,0.98976725,0.010217371,1.5348414e-05,0.010232747
24.0,0.7952381372451782,0.99983466,0.00016526229,3.167403e-09,0.00016534328
26.0,0.7761905193328857,0.45259088,0.522309,0.025100112,0.5474091
28.0,0.785714328289032,0.14450082,0.8383343,0.017164819,0.85549915
30.0,0.7904762029647827,0.09419815,0.90471697,0.0010849311,0.90580183
32.0,0.7547619342803955,0.8633309,0.11632014,0.020348927,0.1366691
34.0,0.7285714745521545,0.99161106,0.008279225,0.00010975065,0.0083889365
36.0,0.7095238566398621,0.07699177,0.92214864,0.000859639,0.9230082
38.0,0.7642857432365417,0.024525154,0.4998944,0.47558048,0.97547483
40.0,0.7452381253242493,0.00024580557,0.67180616,0.3279481,0.9997542
42.0,0.7095238566398621,8.744201e-05,0.085009076,0.91490346,0.99991256
44.0,0.7309523820877075,0.027309928,0.51783764,0.45485246,0.97269005
46.0,0.7214285731315613,0.0324318,0.7537432,0.213825,0.9675682
48.0,0.6928571462631226,0.011973091,0.6644772,0.3235497,0.9880269
50.0,0.6928571462631226,0.0033050557,0.944942,0.051752977,0.9966949
52.0,0.6642857193946838,0.5515849,0.44150484,0.006910321,0.4484151
54.0,0.6809524297714233,0.3468686,0.40457416,0.24855725,0.65313137
56.0,0.6833333373069763,0.21391405,0.665231,0.12085498,0.78608596
58.0,0.6976190805435181,0.9325073,0.06692937,0.000563354,0.06749272
60.0,0.7190476655960083,0.89290076,0.09118159,0.01591766,0.107099235
